1,2,3,4,5
73.07,450,0.0,89.5,485.0
73.06,445,0.0,89.48,475.0
73.01,415,0.0,89.27,385.0
72.95,370,0.0,89.28,388.0
72.95,370,0.0,89.25,372.0
72.86,318,0.0,89.22,360.0
72.95,370,0.0,89.16,340.0
72.98,390,0.0,89.2,352.0
73.02,420,0.0,89.17,345.0
73.04,433,0.0,89.28,385.0
73.08,390,0.0,89.29,388.0
73.13,425,0.0,89.3,390.0
73.1,405,0.0,89.2,352.0
73.07,380,0.0,89.16,335.0
73.01,340,0.0,89.04,290.0
72.95,300,0.0,88.95,265.0
72.94,290,0.0,89.12,315.0
72.98,320,0.0,89.05,300.0
72.94,290,0.0,88.98,255.0
72.92,280,0.0,88.94,242.0
72.97,295,0.0,88.98,255.0
72.82,205,0.0,88.96,250.0
72.85,240,0.0,88.96,250.0
72.84,230,0.0,88.88,222.0
72.84,230,0.0,88.86,218.0
72.82,220,0.0,88.96,247.0
72.85,240,0.0,88.92,253.0
72.86,250,0.0,88.81,200.0
72.79,205,0.0,88.88,223.0
72.81,215,0.0,88.8,204.0
72.79,205,0.0,88.83,211.0
72.79,205,0.0,88.86,218.0
72.78,215,0.0,88.83,211.0
72.78,210,0.0,88.92,234.0
72.8,220,0.0,88.9,228.0
72.8,220,0.0,88.9,228.0
72.79,250,0.0,88.88,224.0
72.78,245,3.7,88.85,216.0
72.8,258,0.1,88.93,236.0
72.82,273,0.0,88.96,247.0
72.84,287,0.0,89.0,243.0
72.87,262,0.0,88.98,239.0
72.87,262,0.0,88.93,226.0
72.86,255,0.2,88.92,230.0
72.82,232,0.0,89.02,272.0
72.87,262,0.0,88.99,265.0
72.87,262,0.1,88.98,258.0
72.87,262,1.2,88.92,224.0
72.85,250,0.0,89.03,258.0
72.85,250,0.0,89.05,264.0
72.91,287,0.0,89.03,258.0
72.91,287,0.0,88.98,243.0
72.86,255,0.0,89.1,276.0
72.9,280,0.0,89.02,249.0
72.92,293,1.0,88.92,224.0
72.85,250,0.0,88.96,234.0
72.84,238,0.0,89.02,249.0
72.86,243,0.0,89.51,478.0
73.3,555,2.9,89.69,702.0
73.45,705,3.5,89.68,694.0
73.45,705,1.6,89.68,700.0
73.49,740,51.9,89.81,905.0
73.61,835,1.6,89.88,1000.0
73.69,1000,0.0,89.68,735.0
73.52,795,0.0,89.78,920.0
73.56,830,0.0,89.55,630.0
73.46,740,0.0,89.59,675.0
73.47,720,0.0,89.6,723.0
73.43,690,0.0,89.71,870.0
73.49,740,0.0,89.57,690.0
73.38,650,0.0,89.58,710.0
73.36,645,0.0,89.58,710.0
73.37,655,0.1,89.62,770.0
73.42,700,4.2,89.63,775.0
73.42,700,6.6,89.65,800.0
73.42,750,0.1,89.65,800.0
73.42,750,0.1,89.64,798.0
73.42,750,0.0,89.65,810.0
73.42,750,0.0,89.66,844.0
73.4,790,0.0,89.62,710.0
73.22,630,0.0,89.5,640.0
73.25,657,0.1,89.63,725.0
73.27,722,0.0,89.59,740.0
73.24,695,0.0,89.5,640.0
73.19,650,0.0,89.5,640.0
73.19,646,0.0,89.48,620.0
73.15,610,0.0,89.55,695.0
73.15,610,0.0,89.55,695.0
73.14,600,0.0,89.58,660.0
73.14,600,0.0,89.62,710.0
73.18,638,0.4,89.61,700.0
73.18,638,0.0,89.7,760.0
73.25,703,0.0,89.87,975.0
73.42,860,0.0,89.95,1040.0
73.46,905,0.0,89.86,911.0
73.46,905,0.0,89.85,914.0
73.39,842,0.0,89.86,911.0
73.38,832,0.0,89.87,918.0
73.42,872,0.0,89.82,862.0
73.4,852,0.0,89.79,827.0
73.38,832,0.0,89.84,885.0
73.38,832,0.0,89.86,905.0
73.39,842,0.1,89.86,1040.0
73.36,813,0.1,89.79,880.0
73.34,794,11.1,89.77,856.0
73.29,745,0.0,89.51,600.0
73.18,640,0.0,89.67,830.0
73.25,707,0.0,89.81,940.0
73.29,745,0.0,89.79,924.0
73.29,745,0.0,89.77,807.0
73.26,755,0.0,89.74,780.0
73.24,740,0.0,89.82,862.0
73.26,757,0.0,89.77,840.0
73.24,740,0.0,89.79,830.0
73.23,730,0.0,89.83,872.0
73.24,820,0.0,89.84,885.0
73.2,782,0.0,89.76,770.0
73.15,740,0.0,89.78,790.0
73.13,710,0.0,89.83,840.0
73.15,740,3.2,89.81,755.0
73.13,668,0.0,89.85,795.0
73.12,659,0.0,89.76,715.0
73.06,615,0.0,89.76,615.0
73.04,555,0.0,89.78,630.0
73.02,595,0.0,89.78,630.0
73.02,595,0.0,89.81,675.0
73.01,585,0.0,89.86,655.0
73.0,580,0.0,89.87,665.0
72.94,530,0.0,89.87,665.0
72.97,540,0.0,89.89,685.0
72.95,520,1.0,89.8,510.0
72.95,520,0.0,89.86,580.0
72.97,540,0.0,89.89,610.0
72.97,470,0.0,89.77,420.0
72.93,425,0.0,89.79,438.0
72.96,460,0.0,89.85,545.0
73.0,500,0.0,89.72,454.0
72.94,435,0.0,89.64,432.0
72.91,380,0.0,89.72,500.0
72.94,420,0.0,89.81,550.0
72.96,440,0.0,89.82,557.0
72.98,465,0.1,89.95,650.0
73.09,590,0.1,90.14,700.0
73.17,680,0.1,90.08,650.0
73.19,700,0.0,90.07,635.0
73.18,690,0.0,90.03,605.0
73.17,680,0.0,89.95,643.0
73.13,630,0.0,89.91,615.0
73.08,510,0.0,89.98,650.0
73.11,540,0.2,89.92,600.0
73.12,550,44.0,90.02,670.0
73.13,550,0.0,89.87,527.0
73.07,520,0.0,89.82,491.0
